,Page URL
21,https://www.altnews.in/old-video-of-abvp-police-clash-in-gorakhpur-varsity-resurfaces-with-misleading-claims/
22,https://www.altnews.in/viral-vdeo-of-aghast-bangladesh-supporters-is-not-from-india-south-africa-t20-wc-final/
23,https://www.altnews.in/arrested-persons-in-neet-scam-all-muslims-no-the-viral-claims-are-misleading/
24,https://www.altnews.in/claims-that-anjali-birla-became-an-ias-officer-without-taking-the-upsc-exam-are-false-on-several-counts/
25,https://www.altnews.in/woman-in-viral-photo-with-george-soros-is-not-manmohan-singhs-daughter/
26,https://www.altnews.in/photo-of-mother-son-duo-falsely-viral-as-hindu-woman-marrying-her-son/
27,https://www.altnews.in/old-video-of-bengaluru-vendor-shared-with-the-false-claim-that-he-added-urine-to-popcorn/
28,https://www.altnews.in/did-kejriwal-blame-manish-sisodia-for-liquor-policy-no-false-claim-by-right-wing-users/
29,https://www.altnews.in/rahul-gandhi-was-present-during-national-anthem-claims-of-his-late-arrival-to-parliament-false/
30,https://www.altnews.in/viral-screenshot-of-tweet-by-supriya-shrinate-attacking-sonia-gandhi-is-fake/
31,https://www.altnews.in/scene-from-iranian-tv-series-peddled-as-aged-muslim-man-caught-sexually-assaulting-minor-girl-in-pakistan/
32,https://www.altnews.in/cattle-slaughter-in-residential-complex-old-video-from-dhaka-falsely-shared-as-bakri-eid-in-west-bengal/
33,https://www.altnews.in/no-modi-and-rajnath-have-not-recently-entered-bjp-margdarshak-mandal/
34,https://www.altnews.in/viral-claims-of-modis-refusal-to-shake-joe-bidens-hands-at-g7-summit-false/
35,https://www.altnews.in/police-debunk-false-claims-of-amethi-womans-death-in-queue-to-avail-mahalakshmi-benefits/
36,https://www.altnews.in/no-pm-modi-did-not-post-all-eyes-on-pok-message-on-instagram/
37,https://www.altnews.in/d-k-shivakumar-said-india-bloc-would-form-govt-viral-video-clipped-falsely-shared/
38,https://www.altnews.in/viral-india-today-exit-poll-graphic-showing-bjp-leading-in-amritsar-is-fake/
39,https://www.altnews.in/all-eyes-on-indian-right-wing-how-pro-bjp-influencers-targeted-celebrities-for-rafah-solidarity-posts/
40,https://www.altnews.in/old-clipped-video-of-aap-leader-atishi-viral-with-false-claim-end-of-electricity-subsidy-in-delhi/
41,https://www.altnews.in/selfie-of-rahul-gandhi-and-sonia-gandhi-viral-with-false-claim-that-photo-of-jesus-hanged-in-their-room/
42,https://www.altnews.in/pune-crash-rapper-in-viral-video-is-not-the-minor-accused/
43,https://www.altnews.in/andhra-assembly-elections-edited-version-of-2019-the-news-minute-exit-poll-graphics-falsely-viral/
44,https://www.altnews.in/fact-check-rahul-gandhi-is-holding-the-indian-constitution-in-image-shared-by-himanta-biswa-sarma/
45,https://www.altnews.in/garlands-thrown-at-akhilesh-yadav-in-kannauj-rally-not-shoes-as-claimed-on-social-media/
46,https://www.altnews.in/army-men-stopped-from-voting-in-jabalpur-in-2019-video-falsely-viral/
47,https://www.altnews.in/old-video-of-random-boys-opening-machines-and-opening-rolls-shared-during-recent-voting-of-loksabha-election/
48,https://www.altnews.in/old-video-of-assembly-election-being-shared-without-context-ahead-of-recent-loksabha-election/
49,https://www.altnews.in/assault-on-swati-maliawal-in-kejriwal-residence-unrelated-video-viral/
50,https://www.altnews.in/fact-check-rahul-gandhi-announced-to-give-lakh-rupees-annually-to-youth-running-facebook-instagram/
51,https://www.altnews.in/video-from-pakistan-shared-as-rahul-gandhi-constituency-wayanad-meat-shop-in-temple/
52,https://www.altnews.in/opindia-and-others-falsely-claimed-influencer-bhupendra-jogi-attacked-after-mocking-dhruv-rathee/
53,https://www.altnews.in/fact-check-dubai-organisation-financial-support-of-muslims-vote-for-congress-viral-letter/
54,https://www.altnews.in/kukke-subramanya-temple-newly-appointed-official-is-a-hindu-shows-school-certificate-govt-document/
55,https://www.altnews.in/no-new-york-times-front-page-did-not-carry-cartoon-mocking-pm-modi-viral-image-is-edited/
56,https://www.altnews.in/amit-shah-did-not-say-bjp-would-end-sc-st-obc-reservation-viral-video-doctored/
57,https://www.altnews.in/siddaramaiahs-pledge-of-equitable-distribution-of-wealth-irrespective-of-caste-and-religion-amplified-falsely/
58,https://www.altnews.in/clipped-video-of-rahul-gandhi-viral-economic-servey-on-minorities/
59,https://www.altnews.in/man-riding-bike-with-three-women-in-burqa-video-from-bangladesh-shared-out-of-context/
60,https://www.altnews.in/ranveer-singh-did-not-criticize-modi-in-ani-interview-actors-voice-has-been-digitally-altered/
61,https://www.altnews.in/aamir-khans-tv-programme-clips-doctored-with-voice-cloning-the-actor-did-not-seek-votes-for-congress/
62,https://www.altnews.in/old-video-of-chennai-bjp-leader-thrashing-bjp-worker-falsely-viral/
63,https://www.altnews.in/andhra-christian-festival-crowd-footage-peddled-as-turnout-at-congress-rally/
64,https://www.altnews.in/karnataka-cm-siddaramaiah-didnt-say-we-dont-need-hindu-votes-fake-newspaper-clip-viral/
65,https://www.altnews.in/video-of-managaluru-middle-of-the-street-iftar-party-peddled-as-kolkata/
66,https://www.altnews.in/mukhtar-ansari-se-mukti-amit-shahs-2019-remark-falsely-viral-after-ansaris-death/
67,https://www.altnews.in/rumour-about-muslim-men-kidnapping-girls-from-kolkatas-quest-mall-viral-no-truth-in-it-say-police/
68,https://www.altnews.in/2022-notice-by-bangladesh-religious-body-morphed-to-show-rates-for-converting-hindus/
69,https://www.altnews.in/photo-from-ethiopia-peddled-as-aap-supporters-on-delhi-street-protesting-against-kejriwals-arrest/
70,https://www.altnews.in/karnataka-congress-leader-d-k-suresh-warning-cops-old-video-viral-again/
71,https://www.altnews.in/kerala-hill-highway-not-funded-by-union-government-claim-by-right-wing-influencers-false/
72,https://www.altnews.in/viral-holi-video-inside-delhi-metro-is-not-a-deep-fake-dmrcs-claim-false/
73,https://www.altnews.in/gayatri-mantra-was-not-recited-at-the-swearing-in-of-pak-pm-shehbaz-sharif/
74,https://www.altnews.in/mamata-banerjees-injury-old-photo-shared-in-a-collage-to-mock-bengal-cm/
75,https://www.altnews.in/2023-punjab-incident-falsely-peddled-as-hindus-assaulting-a-christian-in-up/
76,https://www.altnews.in/morphed-image-of-union-minister-smriti-irani-in-belly-dance-costume-viral/
77,https://www.altnews.in/no-mallikarjun-kharge-did-not-say-congress-had-divided-india-on-caste/
78,https://www.altnews.in/clipped-video-of-nitin-gadkari-shared-as-he-criticise-bjp-govt-fact-check/
79,https://www.altnews.in/akhilesh-dimple-yadavs-2022-photo-at-mulayams-resting-place-falsely-viral/
80,https://www.altnews.in/muslim-girls-harassed-by-hindutva-activists-in-karnataka-2021-video-viral-with-love-jihad-spin/
81,https://www.altnews.in/doctored-image-of-crowd-shared-as-turnout-at-rjd-rally-in-patna/
82,https://www.altnews.in/old-photo-of-mahendra-singh-dhonis-visit-to-london-gurdwara-falsely-viral-amid-farmers-protest/
83,https://www.altnews.in/photo-of-man-with-pellet-injuries-is-from-kashmir-2016-not-linked-to-farmers-stir/
84,https://www.altnews.in/aimims-rizwana-khan-targeted-by-premium-x-handles-with-false-claims-communal-barbs-fir-filed/
85,https://www.altnews.in/modi-effigy-tied-to-a-tractor-photo-from-oregon-us-not-related-to-farmers-protest/
86,https://www.altnews.in/bargain-over-tractor-price-video-falsely-viral-to-discredit-protesting-farmers/
87,https://www.altnews.in/baps-mandir-inaugurated-by-modi-is-not-the-first-hindu-temple-in-uae-false-claim-by-govt-amplified-by-media/
88,https://www.altnews.in/false-claim-of-muslim-population-of-haldwani-uttrakhand-increased-1000-to-one-lakh-in-20-years/
89,https://www.altnews.in/bangladeshi-hindu-girls-converted-to-islam-out-of-free-will-video-viral-with-false-claims/
90,https://www.altnews.in/old-clip-viral-with-false-claim-that-mayavati-called-out-hamid-ansari-for-namaz/
91,https://www.altnews.in/truth-of-india-today-ne-claim-of-rahul-gandhi-body-double-bharat-jodo-nyay-yatra-himanta-biswa-sarma/
92,https://www.altnews.in/old-video-of-eid-celebration-in-jwalapur-falsely-linked-with-haldwani-violence/
93,https://www.altnews.in/haldwani-violence-video-of-scuffle-in-mp-falsely-shared-with-communal-slurs/
94,https://www.altnews.in/rahul-gandhi-did-not-say-501573-doctored-video-viral/
95,https://www.altnews.in/did-bjp-mla-brings-waste-to-temple-premises-and-then-clean-it-no-misleading-claim-viral/
96,https://www.altnews.in/darbhanga-land-dispute-falsely-reported-as-case-of-forced-religious-conversion-viral-with-communal-spin/
97,https://www.altnews.in/karnataka-sslc-exam-paper-scheduled-in-2nd-half-on-friday-to-avoid-clash-with-pre-uni-test-bjp-sees-appeasement/
98,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/
99,https://www.altnews.in/mira-road-clashes-police-thrashing-detainees-to-rail-station-on-fire-unrelated-visuals-falsely-viral/
100,https://www.altnews.in/three-of-bangladeshi-hindu-family-killed-by-relative-crime-falsely-communalized-by-indian-x-users/
101,https://www.altnews.in/alwar-family-feud-over-property-given-communal-spin-on-social-media/
102,https://www.altnews.in/scuba-divers-underwater-stunt-with-saffron-flag-falsely-viral-as-indian-navy-celebrating-ram-mandir-consecration/
103,https://www.altnews.in/did-italian-pm-congratulate-hindus-on-ram-mandir-no-viral-clip-shows-her-thanking-followers-for-birthday-wishes/
104,https://www.altnews.in/congress-linked-x-handles-share-puri-rath-yatra-footage-as-crowd-at-rahul-gandhis-march/
105,https://www.altnews.in/truck-that-caught-fire-in-unnao-was-not-headed-to-ayodhya-ram-mandir-misreport-by-republic-ndtv-mint-et-al/
106,https://www.altnews.in/old-video-of-procession-by-dhirendra-shastris-followers-falsely-shared-as-hindus-from-nepal-arriving-at-ayodhya/
107,https://www.altnews.in/none-of-the-11-spots-marked-in-aerial-view-shot-of-golden-temple-is-a-church/
108,https://www.altnews.in/video-of-varanasi-temporary-toilet-shared-as-ayodhaya-ram-temple-fact-check/
109,https://www.altnews.in/hindu-girl-raped-in-pakistan-in-2019-by-muslim-men-video-falsely-viral-as-hindus-raped-dalit-girl-in-gujarat/
110,https://www.altnews.in/old-unrelated-video-and-images-falsely-linked-to-rumors-of-masood-azhar-death/
111,https://www.altnews.in/video-of-student-thrashed-in-faridabad-falsely-shared-as-dalit-boy-beaten-up-at-ayodhya-ram-mandir-festival/
112,https://www.altnews.in/jatayu-in-ayodhya-viral-video-of-vultures-at-least-3-year-old-not-linked-to-ram-mandir/
113,https://www.altnews.in/image-of-student-and-headmaster-shared-with-false-husband-wife-claim/
114,https://www.altnews.in/jamui-bjp-mla-shreyasi-singh-dancing-in-a-car-no-bhojpuri-actresss-video-falsely-viral/
115,https://www.altnews.in/goons-extorting-christmas-donations-in-kerala-no-its-a-scripted-video/
116,https://www.altnews.in/2019-video-from-up-gangrape-shared-as-bihar-with-communal-angle/
117,https://www.altnews.in/fact-check-the-historic-hinglaj-mata-temple-in-pakistan-in-not-demolished/
118,https://www.altnews.in/muslim-man-urinating-on-pork-in-supermarket-no-its-a-prank-video-by-dutch-youtuber/
119,https://www.altnews.in/clip-of-child-crying-for-father-amid-sabarimala-rush-shared-out-of-context-with-plight-of-hindus-in-kerala-barb/
120,https://www.altnews.in/old-video-report-by-zee-news-shared-in-connection-to-2023-telangana/
121,https://www.altnews.in/viral-photo-of-woman-assaulted-2022-up-incident-in-which-main-accused-was-arrested-raked-up-with-ramrajya-jibes/
122,https://www.altnews.in/did-virat-kohli-have-beef-in-florida-no-couples-food-bill-from-us-eatery-falsely-viral-with-communal-jibes-at-cricketer/
123,https://www.altnews.in/old-video-of-bjps-vasundhara-raje-congratulating-neeraj-chopra-on-phone-falsely-linked-to-rajasthan-polls/
124,https://www.altnews.in/hamas-killing-men-by-throwing-them-off-a-building-no-viral-video-is-from-iraq-2015/
125,https://www.altnews.in/video-from-thailand-shared-as-attack-on-china-uighur-muslim/
126,https://www.altnews.in/uttarakhand-rescue-union-ministers-media-outlets-share-ai-generated-image/
127,https://www.altnews.in/old-unrelated-images-shared-out-of-context-to-show-israeli-forces-and-hamas-treating-kids-in-contrasting-ways/
128,https://www.altnews.in/ndtv-viral-opinion-poll-showing-cong-win-in-telangana-fake-no-survey-done/
129,https://www.altnews.in/viral-video-sitapur-teacher-assaulted-boy-for-repeatedly-leaving-gurukul-for-home-no-caste-angle-confirm-cops/
130,https://www.altnews.in/did-crowd-shout-modi-modi-at-ashok-gehlots-rally-in-tonk-no-doctored-clip-shared-by-assam-cm-himanta-sarma/
131,https://www.altnews.in/june-2022-video-of-woman-protesting-in-front-of-bidens-convoy-falsely-linked-to-israel-hamas-war/
132,https://www.altnews.in/modi-at-cricket-world-cup-final-presentation-ceremony-clipped-video-viral-with-misleading-claims/
133,https://www.altnews.in/clipped-video-of-rahul-gandhi-shared-with-misleading-claim-that-he-asked-who-is-bharat-mata/
134,https://www.altnews.in/edited-video-shared-as-crowd-chants-hanuman-chalisa-during-2023-cricket-world-cup-finals/
135,https://www.altnews.in/bjp-amit-malviya-tweet-clipped-video-of-cong-poll-rally-to-mock-mallikarjun-kharges-rahul-in-place-of-rajiv-slip/
136,https://www.altnews.in/old-images-shared-as-tunnel-system-exposed-in-gaza/
137,https://www.altnews.in/old-photo-of-child-killed-in-yemen-shared-as-recent-incident-from-gaza/
138,https://www.altnews.in/women-walking-with-indian-flag-falsely-shared-as-philistines-leaving-the-county/
139,https://www.altnews.in/staged-video-of-street-fight-viral-with-communal-spin-some-falsely-relate-it-to-israel-hamas-war/
140,https://www.altnews.in/2013-egypt-hospital-siege-video-falsely-viral-as-shooting-in-al-shifa-hospital/
141,https://www.altnews.in/donkey-painted-in-israel-colours-set-ablaze-photos-from-falsely-viral/
142,https://www.altnews.in/video-of-pro-palestine-demonstration-in-washington-viral-users-falsely-claim-it-shows-dead-bodies-in-gaza/
143,https://www.altnews.in/2018-video-of-saudi-arabia-falsely-shared-in-connection-of-israel-palestine-war/
144,https://www.altnews.in/now-pro-israel-users-share-behind-the-scenes-shot-of-lebanese-film-to-claim-palestinians-are-faking-injury/
145,https://www.altnews.in/2015-photo-of-injured-journalist-on-her-job-falsely-linked-to-ongoing-war/
146,https://www.altnews.in/hezbollah-missile-footage-is-from-2019-not-linked-to-ongoing-israel-hamas-war/
147,https://www.altnews.in/mob-violence-video-from-bengals-kaliaganj-falsely-viral-as-jihadis-on-the-rampage-in-rajasthan/
148,https://www.altnews.in/no-salzburg-airport-does-not-have-a-help-desk-for-travellers-who-mistook-austria-for-australia/
149,https://www.altnews.in/ai-deepfake-video-of-actress-rashmika-mandanna-goes-viral-amitabh-bachchan-raises-concern/
150,https://www.altnews.in/2015-video-of-israeli-soldiers-detaining-palestinian-boy-has-been-shared-as-recent/
151,https://www.altnews.in/did-mp-cm-shivraj-singh-say-do-anything-but-stop-kamal-nath-no-video-tampered-with-fake-audio/
152,https://www.altnews.in/expelled-bjp-leader-naveen-kr-jindal-tweets-edited-video-of-blast-claims-man-falling-off-hoverboard-was-a-jihadi/
153,https://www.altnews.in/video-of-cop-set-ablaze-is-from-mexico-2020-not-related-to-israel-hamas-war/
154,https://www.altnews.in/israel-palestine-hamas-conflict-old-video-of-rt-arabic-shared-as-recent/
155,https://www.altnews.in/ruckus-in-a-bus-kasaragod-college-students-protest-given-communal-twist-on-social-media/
156,https://www.altnews.in/rahul-gandhis-pic-with-amitabh-dubey-latters-wife-amulya-gopalakrishnan-viral-with-misleading-claims/
157,https://www.altnews.in/video-of-catholic-family-celebrating-daughters-first-communion-viral-with-muslim-man-marrying-girl-child-claim/
158,https://www.altnews.in/halloween-photo-used-earlier-as-meme-shared-to-mock-gazas-death-toll-claims/
159,https://www.altnews.in/no-idf-did-not-admit-to-bombing-gaza-hospital-fake-facebook-post-viral/
160,https://www.altnews.in/old-video-of-fatehpur-hariyana-of-a-priest-beaten-up-shared-with-false-communal-angle/
161,https://www.altnews.in/video-of-child-trapped-in-tajikistan-mudslide-falsely-linked-to-gaza-violence/
162,https://www.altnews.in/did-cristiano-ronaldo-extend-support-to-palestine-no-old-video-falsely-viral/
163,https://www.altnews.in/7-yr-old-video-of-israels-un-envoy-tearing-human-rights-report-viral-again/
164,https://www.altnews.in/no-digvijaya-singh-has-not-quit-congress-fake-resignation-letter-viral/
165,https://www.altnews.in/gaza-hospital-strike-2022-video-peddled-as-proof-of-failed-hamas-rocket-launch/
166,https://www.altnews.in/old-video-of-jyotiraditya-scindias-election-rally-faux-pas-viral-again/
167,https://www.altnews.in/no-ronaldo-has-not-been-punished-by-iran-for-hugging-wheelchair-bound-fan/
168,https://www.altnews.in/justin-bieber-used-an-old-picture-of-gaza-while-praying-for-israel-deletes-later/
169,https://www.altnews.in/2021-video-of-protesters-climbing-lebanon-israel-border-fence-falsely-viral/
170,https://www.altnews.in/rss-mouthpiece-organiser-shares-2022-sweden-video-falsely-linking-it-to-israel-hamas-war/
171,https://www.altnews.in/us-aid-to-israel-viral-video-of-aircraft-is-made-up-of-unrelated-old-clips/
172,https://www.altnews.in/ad-film-shooting-clip-viral-as-visuals-of-violence-from-israel-palestine-conflict/
173,https://www.altnews.in/old-video-of-sexual-assault-case-in-bengaluru-involving-bangladeshis-viral-as-recent-incident-in-manipur/
174,https://www.altnews.in/fact-check-false-claim-kanhaiyalal-family-didnt-get-compensation-of-50-lakh-but-iqbal/
175,https://www.altnews.in/israel-palestine-conflict-2020-video-of-protest-in-iran-parliament-shared-as-recent-false-report-by-times-now/
176,https://www.altnews.in/ambassador-fact-checks-edu-fair-ad-which-shows-german-palace-as-indian-boarding-school/
177,https://www.altnews.in/no-shah-rukh-khan-did-not-slap-fan-for-remarks-on-dunki-7-yr-old-video-viral-with-false-claims/
178,https://www.altnews.in/woman-dancing-to-guide-song-in-viral-video-is-not-waheeda-rehman/
179,https://www.altnews.in/ai-generated-pictures-of-pm-modi-and-rahul-gandhi-shared-as-miracle/
180,https://www.altnews.in/prayagraj-lawyers-took-out-up-cm-yogis-funeral-march-in-protest-against-hapur-lathi-charge-no-viral-video-is-from-2019/
181,https://www.altnews.in/viral-video-of-jyothi-yarraji-winning-gold-medal-in-hurdle-race-not-from-ongoing-asian-games/
182,https://www.altnews.in/video-of-people-collecting-diamonds-from-road-shared-with-false-claims-that-it-worths-crores/
183,https://www.altnews.in/bjp-protesting-in-front-of-canara-bank-amid-canada-row-edited-image-viral/
184,https://www.altnews.in/no-the-cobbler-the-potter-seen-in-pics-with-pm-modi-are-not-the-same-person/
185,https://www.altnews.in/video-of-ajay-jhamri-murder-case-accused-shared-as-ambedkar-nagar-school-girl-dupatta-death-case/
186,https://www.altnews.in/no-canada-has-not-banned-rss-amid-diplomatic-row-misleading-video-viral/
187,https://www.altnews.in/old-video-from-odisha-falsely-shared-as-bjp-mla-thrashed-in-mp-ahead-of-polls/
188,https://www.altnews.in/photos-of-haji-mehardeen-rangrez-on-aaj-tak-shared-with-false-claim-that-sometimes-he-becomes-nadeem-and-aniket-mishra/
189,https://www.altnews.in/delhi-police-fact-checks-false-claims-on-shia-muslims-rally-ahead-of-g20-meet/
190,https://www.altnews.in/modi-most-popular-poster-not-recent-insult-to-world-leaders-claim-baseless/
191,https://www.altnews.in/malaysian-professional-saree-drapers-video-viral-in-india-with-communal-spin/
192,https://www.altnews.in/bjp-leaders-falsely-shared-video-of-police-penalises-car-over-religion-based-stickers-from-up-as-rajsthan/
193,https://www.altnews.in/gavaskar-on-ndtv-slammed-bcci-for-politicizing-cricket-no-fake-quote-viral/
194,https://www.altnews.in/fact-check-viral-image-of-kerala-onam-special-train-is-ai-generated/
195,https://www.altnews.in/no-isro-chief-s-somanath-did-not-visit-rss-office-in-bengaluru-after-chandrayaan-landing/
196,https://www.altnews.in/false-claim-by-dainik-jagran-about-surgical-strike-on-pakistan/
197,https://www.altnews.in/nasa-footage-ashoka-stambh-on-lunar-surface-fake-visuals-related-to-chandrayaan-3-flood-social-media/
198,https://www.altnews.in/old-video-of-isro-chief-dancing-viral-as-celebrations-of-chandrayaan-3-landing/
199,https://www.altnews.in/pm-modi-claim-that-darbhanga-aiims-being-opened-is-false/
200,https://www.altnews.in/man-chops-finger-to-protest-against-police-inaction-over-brothers-suicide-video-viral-with-misleading-claim/
201,https://www.altnews.in/old-video-from-iran-shared-with-false-claim-that-people-illegally-entering-india-from-myanmar/
202,https://www.altnews.in/caste-discrimination-claim-false-viral-clip-an-awareness-video-by-bengaluru-sanitation-workers-during-pandemic/
203,https://www.altnews.in/amit-shah-didnt-ignore-cji-dy-chandrachud-during-the-independence-day-celebrations-at-red-fort/
204,https://www.altnews.in/cji-chandrachud-hasnt-asked-people-to-protest-against-govt-fake-quote-viral/
205,https://www.altnews.in/old-video-shared-with-false-claim-that-it-is-from-nuh-hariyana/
206,https://www.altnews.in/sudarshan-news-editor-mukesh-kumar-was-arrested-for-tweeting-untrue-facts-not-abducted-by-goons/
207,https://www.altnews.in/bjp-leaders-share-clipped-version-of-rahul-gandhis-speech-in-parliament-hanuman-lanka-ravan/
208,https://www.altnews.in/anti-govt-protesters-attack-eritrean-fest-in-stockholm-indian-right-wing-blames-muslims/
209,https://www.altnews.in/video-of-spl-pilgrimage-train-between-hyderabad-karnataka-viral-with-communal-spin/
210,https://www.altnews.in/accident-involving-evs-caused-massive-explosion-no-viral-video-shows-truck-carrying-gas-cylinders-hitting-a-bus/
211,https://www.altnews.in/cash-retrieved-from-water-pipe-2021-video-of-raid-on-karnataka-pwd-staffers-house-viral-with-false-claims/
212,https://www.altnews.in/viral-video-assault-on-greater-noida-bjp-leader-result-of-local-land-dispute-not-linked-to-manipur-situation/
213,https://www.altnews.in/assault-on-barely-clad-man-women-guruji-nirmal-singh-maharajs-photo-falsely-viral-with-video-from-sri-lanka/
214,https://www.altnews.in/myamnar-military-exercise-video-viral-as-kukis-bombing-meitei-areas-in-manipur/
215,https://www.altnews.in/teen-pointed-gun-at-teacher-during-france-riots-no-the-incident-in-viral-video-is-from-2018/
216,https://www.altnews.in/old-video-of-a-woman-getting-molested-in-bihar-shared-as-recent-to-target-nitish-kumar-tejasvi-yadav/
217,https://www.altnews.in/7-yr-old-video-of-political-clash-in-kerala-falsely-shared-as-muslims-throwing-stones-at-hindu-houses/
218,https://www.altnews.in/naked-woman-chasing-cops-viral-video-is-from-chandauli-up-and-not-manipur/
219,https://www.altnews.in/bjps-missed-call-campain-number-shared-with-appeal-hindu-to-vote-for-ucc/
220,https://www.altnews.in/viral-videos-of-christian-priest-dancing-man-seen-in-the-clips-is-a-brazilian-actor-dressed-up-as-a-pastor/
221,https://www.altnews.in/4-years-old-video-of-algeria-protest-shared-in-connection-of-nahel-m-killing-in-france/
222,https://www.altnews.in/karnataka-banned-wearing-of-bangles-by-female-mid-day-meal-workers-no-directive-came-from-centre/
223,https://www.altnews.in/fact-check-viral-video-of-burning-church-not-from-manipur-but-from-france/
224,https://www.altnews.in/bengaluru-double-murder-fallout-of-biz-rivalry-victim-portrayed-as-hindu-seer-to-set-false-narrative-on-social-media/
225,https://www.altnews.in/man-fell-into-open-drain-on-waterlogged-street-in-borivali-east-no-the-incident-in-viral-video-is-from-tamil-nadu-2022/
226,https://www.altnews.in/pak-woman-rabiya-married-her-dad-false-claim-viral-with-clipped-video-misreport-by-abp-punjab-kesari/
227,https://www.altnews.in/man-fighting-with-grandfather-over-the-same-woman-after-nikah-halala-no-its-a-scripted-video/
228,https://www.altnews.in/cars-driving-over-indian-flag-old-video-from-pakistan-viral-again-as-kerala-incident/
229,https://www.altnews.in/attack-on-pune-woman-accused-identified-as-shantanu-laxman-jadhav-social-media-users-call-him-jihadi/
230,https://www.altnews.in/bengaluru-muslims-calling-for-boycott-of-hindus-2019-video-from-rajasthan-viral-with-misleading-claims/
231,https://www.altnews.in/tamil-nadu-temple-demolition-old-videos-of-anti-encroachment-drive-shared-with-misleading-claims/
232,https://www.altnews.in/bhagwa-love-trap-an-elaborate-conspiracy-theory-in-response-to-the-love-jihad-narrative/
233,https://www.altnews.in/2-sisters-beat-up-ahmedabad-man-for-molestation-incident-given-communal-twist-on-social-media/
234,https://www.altnews.in/video-of-kota-allen-institute-students-offering-namaz-and-shouting-jai-sri-ram-is-from-june-23-2023/
235,https://www.altnews.in/odisha-tragedy-absconding-station-master-sharif-found-in-madrasa-false-claim-based-on-unrelated-video/
236,https://www.altnews.in/bjp-mp-devji-patel-dance-with-giral-viral-video-from-pakistan/
237,https://www.altnews.in/false-claim-viral-on-internet-says-that-shirdi-sai-trust-donated-35-crore-for-haj/
238,https://www.altnews.in/schoolgirl-married-to-aged-teacher-pregnant-no-its-a-scripted-video/
239,https://www.altnews.in/fact-check-hajj-pilgrims-praying-for-rss-bjps-rout-not-indias-destruction/
240,https://www.altnews.in/ksrtc-bus-door-in-mandya-didnt-break-owing-to-rush-of-woman-passengers/
241,https://www.altnews.in/no-this-image-doesnt-show-dawood-ibrahim-with-congress-spokesperson-supriya-shrinate/
242,https://www.altnews.in/muskan-khan-in-london-rj-sayemas-photo-used-to-attack-hijab-ban-protester/
243,https://www.altnews.in/images-shared-with-false-claim-that-it-shows-raid-on-premises-related-to-lalu-yadav/
244,https://www.altnews.in/no-hindu-women-did-not-created-a-ruckus-in-mosque-in-virginia/
245,https://www.altnews.in/ghaziabad-2022-incident-of-womans-murder-by-suspecting-lover-shared-with-false-love-jihad-claims/
246,https://www.altnews.in/fact-check-viral-manmohan-singh-tweets-praising-narendra-modi-are-fake/
247,https://www.altnews.in/clipped-video-shared-as-muslim-cleric-integrated-telengana-collector-office/
